algo,promoted,reward_baseline,reward_candidate,reward_delta,return_baseline,return_candidate,return_delta,CVaR_baseline,CVaR_candidate,CVaR_delta,MDD_baseline,MDD_candidate,MDD_delta,train_time_baseline_s,train_time_candidate_s,train_time_delta_s,tuned_lambda_cvar,check_primary,check_secondary,check_cvar,check_mdd,check_seed_consistency,gate_source
q_learning,False,0.1335774559201705,0.589762155988893,0.4561847000687225,0.30579929523293975,0.9257110535199233,0.6199117582869835,0.00720453634119974,0.025487034845229923,0.018282498504030183,-0.0777003249285313,-0.24856483874852614,-0.17086451381999485,34.57651325819315,32.47425738319289,-2.1022558750002602,0.02,True,True,False,False,True,report/xlf/iteration_gate_sync_r1_q/promotion_decision.json
sg_sarsa,False,0.1311544834561003,0.16855376496043753,0.03739928150433722,0.3310506266300729,0.39608661608689133,0.06503598945681843,0.009369436305261419,0.01470931619659716,0.005339879891335742,-0.09850822557341872,-0.16306030897771237,-0.06455208340429365,28.39519697520882,29.09851446679095,0.7033174915821299,0.03,True,True,False,False,True,report/xlf/iteration_gate_sync_r1_sg/promotion_decision.json
nstep_sarsa,True,0.4993069275107838,0.5209719687123192,0.021665041201535395,0.7067323796404887,0.7303149864709415,0.023582606830452768,0.01866613894675578,0.02053929186173032,0.00187315291497454,-0.1596488954445483,-0.19068834927506256,-0.031039453830514263,28.56431693340419,33.104921000008474,4.540604066604285,0.0025,True,True,True,True,True,report/xlf/iteration_gate_v2/promotion_decision.json
