round,promoted,return,return_delta_vs_baseline,reward,reward_delta_vs_baseline,cvar,cvar_delta_vs_baseline,mdd,mdd_delta_vs_baseline,seed_consistency_passed,check_cvar,check_mdd,check_primary,check_secondary,gate_source
sg_sync_r1,False,0.39608661608689133,0.06503598945681843,0.16855376496043753,0.03739928150433722,0.01470931619659716,0.005339879891335742,-0.16306030897771237,-0.06455208340429365,True,False,False,True,True,report/xlf/iteration_gate_sync_r1_sg/promotion_decision.json
sg_ctrl_lrn,True,0.34610002117454275,0.015049394544469852,0.1679627664182976,0.03680828296219729,0.009461563099084861,9.212679382344241e-05,-0.09840685440316863,0.00010137117025009468,True,True,True,True,True,report/xlf/iteration_gate_sg_ctrl_lrn/promotion_decision.json
sg_ctrl_lrn_e200,False,0.034145248499293554,-0.29690537813077933,-0.11568865142518554,-0.24684313488128584,0.0009199293964234799,-0.008449506908837938,-0.03619674278989572,0.062311482783523,False,True,True,False,False,report/xlf/iteration_gate_sg_ctrl_lrn_e200/promotion_decision.json
sg_ctrl_final_guard_e200,False,0.2794906371703479,-0.05155998945972501,0.09332591798034855,-0.037828565475751766,0.006658850947599148,-0.002710585357662271,-0.07664736334918074,0.021860862224237984,True,True,True,False,False,report/xlf/iteration_gate_sg_ctrl_final/promotion_decision.json
