algo,tag,seed,train_seconds,time_per_100k_steps,test_total_reward,test_cumulative_return,test_max_drawdown,test_cvar,best_config_path,source_file
q_learning,with_cvar,33,32.61339424998732,6.931351324064296,0.651384455469723,1.0279722546151278,-0.2511810107243851,0.0263494319010396,runs/tuning_successive_xlf_sync_r1/q_learning/20260227_014910/best_config.yaml,runs/tuned_best_xlf_sync_r1_eval_q/20260227_022313/suite_summary.csv
q_learning,with_cvar,44,32.60721408302197,6.930037848130148,0.6061610512525375,0.9338471934723906,-0.2580532547321367,0.0264311851970266,runs/tuning_successive_xlf_sync_r1/q_learning/20260227_014910/best_config.yaml,runs/tuned_best_xlf_sync_r1_eval_q/20260227_022313/suite_summary.csv
q_learning,with_cvar,55,32.220720208017156,6.847895989122068,0.6027530317123174,0.9329206055548818,-0.2540351316503905,0.026551963497019,runs/tuning_successive_xlf_sync_r1/q_learning/20260227_014910/best_config.yaml,runs/tuned_best_xlf_sync_r1_eval_q/20260227_022313/suite_summary.csv
sg_sarsa,with_cvar,11,54.16198058304144,11.51108998194369,-0.0854649722552001,0.0639368816595313,-0.0217748296208957,9.690549541310816e-05,runs/tuning_successive_xlf_sg_ctrl_lrn/sg_sarsa/20260227_144540/best_config.yaml,runs/tuned_best_xlf_sg_ctrl_lrn_eval/20260227_151439/suite_summary.csv
sg_sarsa,with_cvar,22,56.59386254195124,12.027939841441649,0.3435536222195797,0.4698351043075561,-0.1358513531833083,0.013306117773982,runs/tuning_successive_xlf_sg_ctrl_lrn/sg_sarsa/20260227_144540/best_config.yaml,runs/tuned_best_xlf_sg_ctrl_lrn_eval/20260227_151439/suite_summary.csv
sg_sarsa,with_cvar,33,54.72722649999196,11.631222158461268,-0.1393274520927618,0.0078105982185825,-0.0432954664269035,0.0040558255794311,runs/tuning_successive_xlf_sg_ctrl_lrn/sg_sarsa/20260227_144540/best_config.yaml,runs/tuned_best_xlf_sg_ctrl_lrn_eval/20260227_151439/suite_summary.csv
sg_sarsa,with_cvar,44,53.98702862497885,11.473907299366411,0.8321056161167966,1.142827121798514,-0.2580532547321361,0.0266122355479641,runs/tuning_successive_xlf_sg_ctrl_lrn/sg_sarsa/20260227_144540/best_config.yaml,runs/tuned_best_xlf_sg_ctrl_lrn_eval/20260227_151439/suite_summary.csv
sg_sarsa,with_cvar,55,55.65866449999157,11.829181437556654,-0.1110529818969262,0.0460903998885298,-0.0330593680525995,0.003236731098634,runs/tuning_successive_xlf_sg_ctrl_lrn/sg_sarsa/20260227_144540/best_config.yaml,runs/tuned_best_xlf_sg_ctrl_lrn_eval/20260227_151439/suite_summary.csv
sg_sarsa,with_cvar,11,28.912183874985203,6.144730059292953,0.5797633117627612,0.938934045196334,-0.2339453293502117,0.0237458316580914,runs/tuning_successive_xlf_sync_r1/sg_sarsa/20260227_020744/best_config.yaml,runs/tuned_best_xlf_sync_r1_eval_sg/20260227_022313/suite_summary.csv
sg_sarsa,with_cvar,22,28.940696667006705,6.150789906275334,0.2242099547800708,0.4915700724831116,-0.1374930004004941,0.0138640433843526,runs/tuning_successive_xlf_sync_r1/sg_sarsa/20260227_020744/best_config.yaml,runs/tuned_best_xlf_sync_r1_eval_sg/20260227_022313/suite_summary.csv
sg_sarsa,with_cvar,33,29.128325292025693,6.1906667712372885,0.3225933224074503,0.5623035111002113,-0.2297286432909363,0.0221739914316538,runs/tuning_successive_xlf_sync_r1/sg_sarsa/20260227_020744/best_config.yaml,runs/tuned_best_xlf_sync_r1_eval_sg/20260227_022313/suite_summary.csv
