algo,delta_reward_with_minus_no,delta_return_with_minus_no,delta_CVaR_with_minus_no,delta_MDD_with_minus_no
q_learning,-0.02195897077932893,-0.016672577272377698,-0.005049435574276338,0.02845498107629818
sg_sarsa,-0.40126146575566185,-0.4591040551525408,-0.01290205768013496,0.12276437862085775
nstep_sarsa,-0.20753116620358164,-0.18790419079933107,-0.006885117305110697,0.08190935472391953
