experiment,promoted,tuning_phase3_episodes,eval_episodes,alpha,epsilon_decay,epsilon_min,return,return_delta_vs_baseline,reward,reward_delta_vs_baseline,cvar,cvar_delta_vs_baseline,mdd,mdd_delta_vs_baseline,train_seconds,train_seconds_delta_vs_baseline,seed_consistency_passed,gate_source
sg_ctrl_lrn,True,120,120,0.015,0.95,0.01,0.34610002117454275,0.015049394544469852,0.1679627664182976,0.03680828296219729,0.009461563099084861,9.212679382344241e-05,-0.09840685440316863,0.00010137117025009468,55.02575254999101,26.630555574782193,True,report/xlf/iteration_gate_sg_ctrl_lrn/promotion_decision.json
sg_ctrl_lrn_e200,False,200,200,0.015,0.95,0.01,0.034145248499293554,-0.29690537813077933,-0.11568865142518554,-0.24684313488128584,0.0009199293964234799,-0.008449506908837938,-0.03619674278989572,0.062311482783523,96.48613975860644,68.09094278339762,False,report/xlf/iteration_gate_sg_ctrl_lrn_e200/promotion_decision.json
sg_ctrl_final_guard_e200,False,200,200,0.03,0.98,0.12,0.2794906371703479,-0.05155998945972501,0.09332591798034855,-0.037828565475751766,0.006658850947599148,-0.002710585357662271,-0.07664736334918074,0.021860862224237984,48.49627936682664,20.101082391617823,True,report/xlf/iteration_gate_sg_ctrl_final/promotion_decision.json
